diag;n
  Q96 - Turner syndrome;5     (0.00)
  R62 - Lack of expected normal physiological development;5     (0.00)
  R83 - Abnormal findings in cerebrospinal fluid;5     (0.00)
  S97 - Crushing injury of ankle and foot;5     (0.00)
  T69 - Other effects of reduced temperature;5     (0.00)
  V27 - Motorcycle rider injured in collision with fixed or stationary object;5     (0.00)
  W27 - Contact with nonpowered hand tool;5     (0.00)
  X10 - Contact with hot drinks, food, fats and cooking oils;5     (0.00)
  Y00 - Assault by blunt object;5     (0.00)
  Y12 - Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent;5     (0.00)
  Y63 - Failure in dosage during surgical and medical care;5     (0.00)
  Y66 - Nonadministration of surgical and medical care;5     (0.00)
  Y79 - Orthopaedic devices associated with adverse incidents;5     (0.00)
  Z33 - Pregnant state, incidental;5     (0.00)
  A43 - Nocardiosis;4     (0.00)
  A52 - Late syphilis;4     (0.00)
  A78 - Q fever;4     (0.00)
  B54 - Unspecified malaria;4     (0.00)
  B55 - Leishmaniasis;4     (0.00)
  B67 - Echinococcosis;4     (0.00)
  B82 - Unspecified intestinal parasitism;4     (0.00)
  D19 - Benign neoplasm of mesothelial tissue;4     (0.00)
  D82 - Immunodeficiency associated with other major defects;4     (0.00)
  E15 - Nondiabetic hypoglycaemic coma;4     (0.00)
  F24 - Induced delusional disorder;4     (0.00)
  F88 - Other disorders of psychological development;4     (0.00)
  F93 - Emotional disorders with onset specific to childhood;4     (0.00)
  N44 - Torsion of testis;4     (0.00)
  Q03 - Congenital hydrocephalus;4     (0.00)
  Q33 - Congenital malformations of lung;4     (0.00)
  Q52 - Other congenital malformations of female genitalia;4     (0.00)
  Q72 - Reduction defects of lower limb;4     (0.00)
  R75 - Laboratory evidence of human immunodeficiency virus [HIV];4     (0.00)
  T30 - Burn and corrosion, body region unspecified;4     (0.00)
  T41 - Poisoning by anaesthetics and therapeutic gases;4     (0.00)
  T48 - Poisoning by agents primarily acting on smooth and skeletal muscles and the respiratory system;4     (0.00)
  T52 - Toxic effect of organic solvents;4     (0.00)
  T60 - Toxic effect of pesticides;4     (0.00)
  U04 - Severe acute respiratory syndrome [SARS];4     (0.00)
  W03 - Other fall on same level due to collision with, or pushing by, another person;4     (0.00)
  W40 - Explosion of other materials;4     (0.00)
  X04 - Exposure to ignition of highly flammable material;4     (0.00)
  X38 - Victim of flood;4     (0.00)
  X68 - Intentional self-poisoning by and exposure to pesticides;4     (0.00)
  Y14 - Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent;4     (0.00)
  Y34 - Unspecified event, undetermined intent;4     (0.00)
  Y62 - Failure of sterile precautions during surgical and medical care;4     (0.00)
  Y85 - Sequelae of transport accidents;4     (0.00)
  Z28 - Immunization not carried out;4     (0.00)
  Z32 - Pregnancy examination and test;4     (0.00)
  A30 - Leprosy [Hansen disease];3     (0.00)
  A36 - Diphtheria;3     (0.00)
  A37 - Whooping cough;3     (0.00)
  A66 - Yaws;3     (0.00)
  B65 - Schistosomiasis [bilharziasis];3     (0.00)
  B69 - Cysticercosis;3     (0.00)
  C63 - Malignant neoplasm of other and unspecified male genital organs;3     (0.00)
  D77 - Other disorders of blood and blood-forming organs in diseases classified elsewhere;3     (0.00)
  E25 - Adrenogenital disorders;3     (0.00)
  E32 - Diseases of thymus;3     (0.00)
  F18 - Mental and behavioural disorders due to use of volatile solvents;3     (0.00)
  F64 - Gender identity disorders;3     (0.00)
  F66 - Psychological and behavioural disorders associated with sexual development and orientation;3     (0.00)
  G14 - Postpolio syndrome;3     (0.00)
  H03 - Disorders of eyelid in diseases classified elsewhere;3     (0.00)
  I01 - Rheumatic fever with heart involvement;3     (0.00)
  J05 - Acute obstructive laryngitis [croup] and epiglottitis;3     (0.00)
  L44 - Other papulosquamous disorders;3     (0.00)
  L66 - Cicatricial alopecia [scarring hair loss];3     (0.00)
  L75 - Apocrine sweat disorders;3     (0.00)
  L87 - Transepidermal elimination disorders;3     (0.00)
  N07 - Hereditary nephropathy, not elsewhere classified;3     (0.00)
  N22 - Calculus of urinary tract in diseases classified elsewhere;3     (0.00)
  N37 - Urethral disorders in diseases classified elsewhere;3     (0.00)
  N74 - Female pelvic inflammatory disorders in diseases classified elsewhere;3     (0.00)
  N96 - Habitual aborter;3     (0.00)
  O67 - Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified;3     (0.00)
  O91 - Infections of breast associated with childbirth;3     (0.00)
  P91 - Other disturbances of cerebral status of newborn;3     (0.00)
  Q01 - Encephalocele;3     (0.00)
  Q22 - Congenital malformations of pulmonary and tricuspid valves;3     (0.00)
  Q30 - Congenital malformations of nose;3     (0.00)
  Q53 - Undescended testicle;3     (0.00)
  Q71 - Reduction defects of upper limb;3     (0.00)
  Q80 - Congenital ichthyosis;3     (0.00)
  S94 - Injury of nerves at ankle and foot level;3     (0.00)
  S95 - Injury of blood vessels at ankle and foot level;3     (0.00)
  T26 - Burn and corrosion confined to eye and adnexa;3     (0.00)
  T34 - Frostbite with tissue necrosis;3     (0.00)
  T37 - Poisoning by other systemic anti-infectives and antiparasitics;3     (0.00)
  T61 - Toxic effect of noxious substances eaten as seafood;3     (0.00)
  T97 - Sequelae of toxic effects of substances chiefly nonmedicinal as to source;3     (0.00)
  V17 - Pedal cyclist injured in collision with fixed or stationary object;3     (0.00)
  V44 - Car occupant injured in collision with heavy transport vehicle or bus;3     (0.00)
  V86 - Occupant of special all-terrain or other motor vehicle designed primarily for off-road use, injured in transport accident;3     (0.00)
  V96 - Accident to nonpowered aircraft causing injury to occupant;3     (0.00)
  W21 - Striking against or struck by sports equipment;3     (0.00)
  W24 - Contact with lifting and transmission devices, not elsewhere classified;3     (0.00)
  W50 - Hit, struck, kicked, twisted, bitten or scratched by another person;3     (0.00)
  W60 - Contact with plant thorns and spines and sharp leaves;3     (0.00)
  X02 - Exposure to controlled fire in building or structure;3     (0.00)
  X08 - Exposure to other specified smoke, fire and flames;3     (0.00)
  X11 - Contact with hot tap-water;3     (0.00)
  X19 - Contact with other and unspecified heat and hot substances;3     (0.00)
  X50 - Overexertion and strenuous or repetitive movements;3     (0.00)
  X67 - Intentional self-poisoning by and exposure to other gases and vapours;3     (0.00)
  X73 - Intentional self-harm by rifle, shotgun and larger firearm discharge;3     (0.00)
  X79 - Intentional self-harm by blunt object;3     (0.00)
  X91 - Assault by hanging, strangulation and suffocation;3     (0.00)
  Y05 - Sexual assault by bodily force;3     (0.00)
  Y19 - Poisoning by and exposure to other and unspecified chemicals and noxious substances, undetermined intent;3     (0.00)
  Y70 - Anaesthesiology devices associated with adverse incidents;3     (0.00)
  Y87 - Sequelae of intentional self-harm, assault and events of undetermined intent;3     (0.00)
  A01 - Typhoid and paratyphoid fevers;2     (0.00)
  A17 - Tuberculosis of nervous system;2     (0.00)
  A56 - Other sexually transmitted chlamydial diseases;2     (0.00)
  A74 - Other diseases caused by chlamydiae;2     (0.00)
  A77 - Spotted fever [tick-borne rickettsioses];2     (0.00)
  A79 - Other rickettsioses;2     (0.00)
  A88 - Other viral infections of central nervous system, not elsewhere classified;2     (0.00)
  B09 - Unspecified viral infection characterized by skin and mucous membrane lesions;2     (0.00)
  B26 - Mumps;2     (0.00)
  B39 - Histoplasmosis;2     (0.00)
  B46 - Zygomycosis;2     (0.00)
  B83 - Other helminthiases;2     (0.00)
  D74 - Methaemoglobinaemia;2     (0.00)
  E31 - Polyglandular dysfunction;2     (0.00)
  E42 - Marasmic kwashiorkor;2     (0.00)
  E52 - Niacin deficiency [pellagra];2     (0.00)
  H67 - Otitis media in diseases classified elsewhere;2     (0.00)
  H68 - Eustachian salpingitis and obstruction;2     (0.00)
  J64 - Unspecified pneumoconiosis;2     (0.00)
  J65 - Pneumoconiosis associated with tuberculosis;2     (0.00)
  L14 - Bullous disorders in diseases classified elsewhere;2     (0.00)
  L26 - Exfoliative dermatitis;2     (0.00)
  L54 - Erythema in diseases classified elsewhere;2     (0.00)
  L64 - Androgenic alopecia;2     (0.00)
  L86 - Keratoderma in diseases classified elsewhere;2     (0.00)
  M68 - Disorders of synovium and tendon in diseases classified elsewhere;2     (0.00)
  M73 - Soft tissue disorders in diseases classified elsewhere;2     (0.00)
  N98 - Complications associated with artificial fertilization;2     (0.00)
  O01 - Hydatidiform mole;2     (0.00)
  O07 - Failed attempted abortion;2     (0.00)
  O08 - Complications following abortion and ectopic and molar pregnancy;2     (0.00)
  O11 - Pre-existing hypertensive disorder with superimposed proteinuria;2     (0.00)
  O15 - Eclampsia;2     (0.00)
  O85 - Puerperal sepsis;2     (0.00)
  O94 - Sequelae of complication of pregnancy, childbirth and the puerperium;2     (0.00)
  P59 - Neonatal jaundice from other and unspecified causes;2     (0.00)
  Q10 - Congenital malformations of eyelid, lacrimal apparatus and orbit;2     (0.00)
  Q32 - Congenital malformations of trachea and bronchus;2     (0.00)
  Q42 - Congenital absence, atresia and stenosis of large intestine;2     (0.00)
  Q69 - Polydactyly;2     (0.00)
  Q75 - Other congenital malformations of skull and face bones;2     (0.00)
  Q84 - Other congenital malformations of integument;2     (0.00)
  Q93 - Monosomies and deletions from the autosomes, not elsewhere classified;2     (0.00)
  R36 - Urethral discharge;2     (0.00)
  S07 - Crushing injury of head;2     (0.00)
  S23 - Dislocation, sprain and strain of joints and ligaments of thorax;2     (0.00)
  S28 - Crushing injury of thorax and traumatic amputation of part of thorax;2     (0.00)
  S47 - Crushing injury of shoulder and upper arm;2     (0.00)
  S48 - Traumatic amputation of shoulder and upper arm;2     (0.00)
  S77 - Crushing injury of hip and thigh;2     (0.00)
  T56 - Toxic effect of metals;2     (0.00)
  T57 - Toxic effect of other inorganic substances;2     (0.00)
  T94 - Sequelae of injuries involving multiple and unspecified body regions;2     (0.00)
  V01 - Pedestrian injured in collision with pedal cycle;2     (0.00)
  V02 - Pedestrian injured in collision with two- or three-wheeled motor vehicle;2     (0.00)
  V04 - Pedestrian injured in collision with heavy transport vehicle or bus;2     (0.00)
  V12 - Pedal cyclist injured in collision with two- or three-wheeled motor vehicle;2     (0.00)
  V40 - Car occupant injured in collision with pedestrian or animal;2     (0.00)
  V98 - Other specified transport accidents;2     (0.00)
  W04 - Fall while being carried or supported by other persons;2     (0.00)
  W15 - Fall from cliff;2     (0.00)
  W33 - Rifle, shotgun and larger firearm discharge;2     (0.00)
  W34 - Discharge from other and unspecified firearms;2     (0.00)
  W58 - Bitten or struck by crocodile or alligator;2     (0.00)
  W64 - Exposure to other and unspecified animate mechanical forces;2     (0.00)
  W69 - Drowning and submersion while in natural water;2     (0.00)
  W87 - Exposure to unspecified electric current;2     (0.00)
  X00 - Exposure to uncontrolled fire in building or structure;2     (0.00)
  X12 - Contact with other hot fluids;2     (0.00)
  X20 - Contact with venomous snakes and lizards;2     (0.00)
  X43 - Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system;2     (0.00)
  X45 - Accidental poisoning by and exposure to alcohol;2     (0.00)
  X48 - Accidental poisoning by and exposure to pesticides;2     (0.00)
  X51 - Travel and motion;2     (0.00)
  X76 - Intentional self-harm by smoke, fire and flames;2     (0.00)
  X82 - Intentional self-harm by crashing of motor vehicle;2     (0.00)
  Y02 - Assault by pushing or placing victim before moving object;2     (0.00)
  Y08 - Assault by other specified means;2     (0.00)
  Y24 - Other and unspecified firearm discharge, undetermined intent;2     (0.00)
  Y30 - Falling, jumping or pushed from a high place, undetermined intent;2     (0.00)
  Y58 - Bacterial vaccines;2     (0.00)
  Y64 - Contaminated medical or biological substances;2     (0.00)
  Y81 - General- and plastic-surgery devices associated with adverse incidents;2     (0.00)
  Y82 - Other and unspecified medical devices associated with adverse incidents;2     (0.00)
  Z26 - Need for immunization against other single infectious diseases;2     (0.00)
  A03 - Shigellosis;1     (0.00)
  A21 - Tularaemia;1     (0.00)
  A23 - Brucellosis;1     (0.00)
  A24 - Glanders and melioidosis;1     (0.00)
  A35 - Other tetanus;1     (0.00)
  A68 - Relapsing fevers;1     (0.00)
  A93 - Other arthropod-borne viral fevers, not elsewhere classified;1     (0.00)
  B05 - Measles;1     (0.00)
  B45 - Cryptococcosis;1     (0.00)
  B51 - Plasmodium vivax malaria;1     (0.00)
  B52 - Plasmodium malariae malaria;1     (0.00)
  B60 - Other protozoal diseases, not elsewhere classified;1     (0.00)
  B66 - Other fluke infections;1     (0.00)
  B68 - Taeniasis;1     (0.00)
  B70 - Diphyllobothriasis and sparganosis;1     (0.00)
  B74 - Filariasis;1     (0.00)
  B76 - Hookworm diseases;1     (0.00)
  B81 - Other intestinal helminthiases, not elsewhere classified;1     (0.00)
  B87 - Myiasis;1     (0.00)
  B88 - Other infestations;1     (0.00)
  B89 - Unspecified parasitic disease;1     (0.00)
  B92 - Sequelae of leprosy;1     (0.00)
  C47 - Malignant neoplasm of peripheral nerves and autonomic nervous system;1     (0.00)
  C58 - Malignant neoplasm of placenta;1     (0.00)
  C97 - Malignant neoplasms of independent (primary) multiple sites;1     (0.00)
  D67 - Hereditary factor IX deficiency;1     (0.00)
  E45 - Retarded development following protein-energy malnutrition;1     (0.00)
  E76 - Disorders of glycosaminoglycan metabolism;1     (0.00)
  F81 - Specific developmental disorders of scholastic skills;1     (0.00)
  F89 - Unspecified disorder of psychological development;1     (0.00)
  G07 - Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere;1     (0.00)
  H94 - Other disorders of ear in diseases classified elsewhere;1     (0.00)
  J63 - Pneumoconiosis due to other inorganic dusts;1     (0.00)
  K67 - Disorders of peritoneum in infectious diseases classified elsewhere;1     (0.00)
  L42 - Pityriasis rosea;1     (0.00)
  L45 - Papulosquamous disorders in diseases classified elsewhere;1     (0.00)
  L55 - Sunburn;1     (0.00)
  L62 - Nail disorders in diseases classified elsewhere;1     (0.00)
  M03 - Postinfective and reactive arthropathies in diseases classified elsewhere;1     (0.00)
  O05 - Other abortion;1     (0.00)
  O31 - Complications specific to multiple gestation;1     (0.00)
  P07 - Disorders related to short gestation and low birth weight, not elsewhere classified;1     (0.00)
  P11 - Other birth injuries to central nervous system;1     (0.00)
  P14 - Birth injury to peripheral nervous system;1     (0.00)
  P21 - Birth asphyxia;1     (0.00)
  P35 - Congenital viral diseases;1     (0.00)
  P55 - Haemolytic disease of fetus and newborn;1     (0.00)
  P94 - Disorders of muscle tone of newborn;1     (0.00)
  P96 - Other conditions originating in the perinatal period;1     (0.00)
  Q11 - Anophthalmos, microphthalmos and macrophthalmos;1     (0.00)
  Q13 - Congenital malformations of anterior segment of eye;1     (0.00)
  Q14 - Congenital malformations of posterior segment of eye;1     (0.00)
  Q26 - Congenital malformations of great veins;1     (0.00)
  Q34 - Other congenital malformations of respiratory system;1     (0.00)
  Q35 - Cleft palate;1     (0.00)
  Q37 - Cleft palate with cleft lip;1     (0.00)
  Q70 - Syndactyly;1     (0.00)
  Q73 - Reduction defects of unspecified limb;1     (0.00)
  Q77 - Osteochondrodysplasia with defects of growth of tubular bones and spine;1     (0.00)
  Q81 - Epidermolysis bullosa;1     (0.00)
  Q91 - Edwards syndrome and Patau syndrome;1     (0.00)
  Q92 - Other trisomies and partial trisomies of the autosomes, not elsewhere classified;1     (0.00)
  Q95 - Balanced rearrangements and structural markers, not elsewhere classified;1     (0.00)
  R69 - Unknown and unspecified causes of morbidity;1     (0.00)
  S17 - Crushing injury of neck;1     (0.00)
  S57 - Crushing injury of forearm;1     (0.00)
  T04 - Crushing injuries involving multiple body regions;1     (0.00)
  T10 - Fracture of upper limb, level unspecified;1     (0.00)
  T12 - Fracture of lower limb, level unspecified;1     (0.00)
  T16 - Foreign body in ear;1     (0.00)
  T27 - Burn and corrosion of respiratory tract;1     (0.00)
  T32 - Corrosions classified according to extent of body surface involved;1     (0.00)
  T55 - Toxic effect of soaps and detergents;1     (0.00)
  U81 - Agent resistant to vancomycin and related antibiotics;1     (0.00)
  V11 - Pedal cyclist injured in collision with other pedal cycle;1     (0.00)
  V14 - Pedal cyclist injured in collision with heavy transport vehicle or bus;1     (0.00)
  V22 - Motorcycle rider injured in collision with two- or three-wheeled motor vehicle;1     (0.00)
  V24 - Motorcycle rider injured in collision with heavy transport vehicle or bus;1     (0.00)
  V55 - Occupant of pick-up truck or van injured in collision with railway train or railway vehicle;1     (0.00)
  V64 - Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus;1     (0.00)
  V67 - Occupant of heavy transport vehicle injured in collision with fixed or stationary object;1     (0.00)
  V68 - Occupant of heavy transport vehicle injured in noncollision transport accident;1     (0.00)
  V69 - Occupant of heavy transport vehicle injured in other and unspecified transport accidents;1     (0.00)
  V82 - Occupant of streetcar injured in transport accident;1     (0.00)
  V84 - Occupant of special vehicle mainly used in agriculture injured in transport accident;1     (0.00)
  V87 - Traffic accident of specified type but victim's mode of transport unknown;1     (0.00)
  V90 - Accident to watercraft causing drowning and submersion;1     (0.00)
  V91 - Accident to watercraft causing other injury;1     (0.00)
  W16 - Diving or jumping into water causing injury other than drowning or submersion;1     (0.00)
  W28 - Contact with powered lawnmower;1     (0.00)
  W36 - Explosion and rupture of gas cylinder;1     (0.00)
  W38 - Explosion and rupture of other specified pressurized devices;1     (0.00)
  W59 - Bitten or crushed by other reptiles;1     (0.00)
  W70 - Drowning and submersion following fall into natural water;1     (0.00)
  W80 - Inhalation and ingestion of other objects causing obstruction of respiratory tract;1     (0.00)
  W81 - Confined to or trapped in a low-oxygen environment;1     (0.00)
  W85 - Exposure to electric transmission lines;1     (0.00)
  W86 - Exposure to other specified electric current;1     (0.00)
  W93 - Exposure to excessive cold of man-made origin;1     (0.00)
  W94 - Exposure to high and low air pressure and changes in air pressure;1     (0.00)
  X01 - Exposure to uncontrolled fire, not in building or structure;1     (0.00)
  X09 - Exposure to unspecified smoke, fire and flames;1     (0.00)
  X15 - Contact with hot household appliances;1     (0.00)
  X16 - Contact with hot heating appliances, radiators and pipes;1     (0.00)
  X26 - Contact with venomous marine animals and plants;1     (0.00)
  X29 - Contact with unspecified venomous animal or plant;1     (0.00)
  X31 - Exposure to excessive natural cold;1     (0.00)
  X66 - Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours;1     (0.00)
  X85 - Assault by drugs, medicaments and biological substances;1     (0.00)
  X93 - Assault by handgun discharge;1     (0.00)
  X94 - Assault by rifle, shotgun and larger firearm discharge;1     (0.00)
  X95 - Assault by other and unspecified firearm discharge;1     (0.00)
  X98 - Assault by steam, hot vapours and hot objects;1     (0.00)
  Y10 - Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent;1     (0.00)
  Y16 - Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, undetermined intent;1     (0.00)
  Y23 - Rifle, shotgun and larger firearm discharge, undetermined intent;1     (0.00)
  Y26 - Exposure to smoke, fire and flames, undetermined intent;1     (0.00)
  Y27 - Contact with steam, hot vapours and hot objects, undetermined intent;1     (0.00)
  Y33 - Other specified events, undetermined intent;1     (0.00)
  Y36 - Operations of war;1     (0.00)
  Y73 - Gastroenterology and urology devices associated with adverse incidents;1     (0.00)
  Y74 - General hospital and personal-use devices associated with adverse incidents;1     (0.00)
  Y75 - Neurological devices associated with adverse incidents;1     (0.00)
  Y78 - Radiological devices associated with adverse incidents;1     (0.00)
  Y86 - Sequelae of other accidents;1     (0.00)
  Y89 - Sequelae of other external causes;1     (0.00)
;
